Color Index Name,Pigment Name(s),Paint Brand & Number,family
PW6,"titanium white
buff titanium white","Winsor & Newton 206
Daniel Smith 015",white
,gray,,
PBk10,powdered graphite,Daniel Smith 010,gray
PBk19+PW4+PBk6,davy's gray,Winsor & Newton 019,gray
,dark shade,,
PBk6+PB60,indigo,Daniel Smith 025,dark shade
PBk6+PB15+PV19,neutral tint,Winsor & Newton 032,dark shade
PBk6+PB29,payne's gray,M. Graham 128,dark shade
PBr7+PBk7,sepia,M. Graham 178,dark shade
PBk31,perylene black,Winsor & Newton 386,dark shade
,black,,
PBk6,lamp black,Winsor & Newton 034,black
PBk7,furnace black,MaimeriBlu 537,black
PBk8,vine black,Old Holland 367,black
PBk9,ivory [bone] black,M. Graham 110,black
PBk11,black iron oxide,Daniel Smith 021,black
,metallic,,
PW20,mica (silver/gold),Holbein,metallic
,additions,,
BV10,rhodamine B (fluorescent),Holbein Opera,violet red [magenta]
PY181,benzimidazolone yellow medium,,orange yellow
